subject,code,noteOctave,note,sd
s8,NC20,B3,B,9
s10,NC20,A#3,A#,8
s12,NC20,D3,D,12
s16,NC20,A#2,A#,8
s21,NC20,A#2,A#,8
s23,NC20,D#3,D#,1
s25,NC20,A#3,A#,8
s27,NC20,A#2,A#,8
s29,NC20,G4,G,5
s31,NC20,G#3,G#,6
s33,NC20,A#2,A#,8
s35,NC20,E4,E,2
s37,NC20,G#2,G#,6
s41,NC20,D#4,D#,1
s42,NC20,F4,F,3
s44,NC20,A#3,A#,8
s47,NC20,A#3,A#,8
s49,NC20,A#3,A#,8
s51,NC20,A#3,A#,8
s53,NC20,D3,D,12
s56,NC20,F3,F,3
s58,NC20,A#2,A#,8
s1,NC21,G#4,G#,11
s3,NC21,G3,G,10
s5,NC21,G3,G,10
s7,NC21,D3,D,5
s9,NC21,D4,D,5
s11,NC21,D#4,D#,6
s13,NC21,D3,D,5
s15,NC21,D3,D,5
s18,NC21,G#4,G#,11
s20,NC21,F#3,F#,9
s22,NC21,D#3,D#,6
s24,NC21,A#3,A#,1
s28,NC21,D4,D,5
s30,NC21,D4,D,5
s32,NC21,F4,F,8
s34,NC21,D#4,D#,6
s36,NC21,G#3,G#,11
s38,NC21,D#4,D#,6
s40,NC21,G4,G,10
s43,NC21,A#2,A#,1
s46,NC21,F3,F,8
s48,NC21,A#2,A#,1
s50,NC21,A#3,A#,1
s52,NC21,F#3,F#,9
s54,NC21,D#4,D#,6
s1,NC22,E4,E,12
s3,NC22,G3,G,3
s5,NC22,A#2,A#,6
s7,NC22,C3,C,8
s9,NC22,D4,D,10
s11,NC22,C4,C,8
s13,NC22,G3,G,3
s15,NC22,D#3,D#,11
s18,NC22,F4,F,1
s20,NC22,C4,C,8
s22,NC22,E4,E,12
s24,NC22,F4,F,1
s28,NC22,C4,C,8
s30,NC22,F4,F,1
s32,NC22,C4,C,8
s34,NC22,C4,C,8
s36,NC22,F3,F,1
s38,NC22,D4,D,10
s40,NC22,A#4,A#,6
s43,NC22,B2,B,7
s46,NC22,E3,E,12
s48,NC22,F3,F,1
s50,NC22,G4,G,3
s52,NC22,E4,E,12
s54,NC22,C4,C,8
s2,NC23,C4,C,1
s4,NC23,F3,F,6
s6,NC23,F4,F,6
s8,NC23,B2,B,12
s10,NC23,B3,B,12
s12,NC23,F3,F,6
s16,NC23,B2,B,12
s21,NC23,C3,C,1
s23,NC23,D3,D,3
s25,NC23,B3,B,12
s27,NC23,D3,D,3
s29,NC23,D4,D,3
s31,NC23,B3,B,12
s33,NC23,B2,B,12
s35,NC23,B3,B,12
s37,NC23,G2,G,8
s41,NC23,F4,F,6
s42,NC23,C4,C,1
s44,NC23,D4,D,3
s47,NC23,F4,F,6
s49,NC23,C4,C,1
s51,NC23,A3,A,10
s53,NC23,B2,B,12
s56,NC23,A2,A,10
s58,NC23,G3,G,8
s1,NC24,G4,G,6
s3,NC24,C3,C,11
s5,NC24,E3,E,3
s7,NC24,B2,B,10
s9,NC24,E4,E,3
s11,NC24,E4,E,3
s13,NC24,E3,E,3
s15,NC24,E3,E,3
s18,NC24,G4,G,6
s20,NC24,G3,G,6
s22,NC24,E4,E,3
s24,NC24,E4,E,3
s28,NC24,E4,E,3
s30,NC24,E4,E,3
s32,NC24,E4,E,3
s34,NC24,F#4,F#,5
s36,NC24,E3,E,3
s38,NC24,A3,A,8
s40,NC24,E4,E,3
s43,NC24,A3,A,8
s46,NC24,E3,E,3
s48,NC24,E3,E,3
s50,NC24,F#4,F#,5
s52,NC24,E4,E,3
s54,NC24,E4,E,3
s1,NC25,G#4,G#,12
s48,NC25,A#3,A#,2
s13,NC25,A3,A,1
s24,NC25,A4,A,1
s32,NC25,A4,A,1
s34,NC25,A4,A,1
s54,NC25,A4,A,1
s50,NC25,C4,C,4
s43,NC25,D#3,D#,7
s52,NC25,D#4,D#,7
s15,NC25,D3,D,6
s5,NC25,E3,E,8
s7,NC25,E3,E,8
s36,NC25,E3,E,8
s46,NC25,E3,E,8
s9,NC25,E4,E,8
s11,NC25,E4,E,8
s22,NC25,E4,E,8
s28,NC25,E4,E,8
s38,NC25,E4,E,8
s40,NC25,E4,E,8
s3,NC25,G#3,G#,12
s30,NC25,G#4,G#,12
s18,NC25,G4,G,11
s20,NC25,nan,nan,FALSE
s1,NC26,A4,A,6
s9,NC26,G#4,G#,5
s11,NC26,A4,A,6
s18,NC26,A4,A,6
s20,NC26,F4,F,2
s22,NC26,B3,B,8
s24,NC26,F#4,F#,3
s28,NC26,B3,B,8
s30,NC26,F#4,F#,3
s32,NC26,B4,B,8
s34,NC26,A4,A,6
s38,NC26,G#4,G#,5
s40,NC26,B3,B,8
s50,NC26,B4,B,8
s52,NC26,G#4,G#,5
s54,NC26,B3,B,8
s3,NC26,A3,A,6
s5,NC26,B3,B,8
s7,NC26,A3,A,6
s13,NC26,D#3,D#,12
s15,NC26,G#3,G#,5
s36,NC26,A3,A,6
s43,NC26,B3,B,8
s46,NC26,B3,B,8
s48,NC26,D4,D,11
s2,NC02,D4,D,1
s4,NC02,C#3,C#,12
s6,NC02,D4,D,1
s8,NC02,D4,D,1
s10,NC02,C#4,C#,12
s12,NC02,C#3,C#,12
s16,NC02,E3,E,3
s21,NC02,C#3,C#,12
s23,NC02,A3,A,8
s25,NC02,E4,E,3
s27,NC02,E3,E,3
s29,NC02,D4,D,1
s31,NC02,C#4,C#,12
s33,NC02,C#3,C#,12
s35,NC02,C#4,C#,12
s37,NC02,C#3,C#,12
s41,NC02,F#4,F#,5
s42,NC02,C#4,C#,12
s44,NC02,C#4,C#,12
s47,NC02,D4,D,1
s49,NC02,D4,D,1
s51,NC02,C#4,C#,12
s53,NC02,C#3,C#,12
s56,NC02,D3,D,1
s58,NC02,E3,E,3
s2,NC27,A#3,A#,12
s4,NC27,B2,B,1
s6,NC27,C#4,C#,3
s8,NC27,A#3,A#,12
s10,NC27,D#4,D#,5
s12,NC27,C#3,C#,3
s16,NC27,F#2,F#,8
s21,NC27,F#2,F#,8
s23,NC27,F#3,F#,8
s25,NC27,F#3,F#,8
s27,NC27,D#3,D#,5
s29,NC27,B3,B,1
s31,NC27,A#3,A#,12
s33,NC27,C#3,C#,3
s35,NC27,B3,B,1
s37,NC27,A#2,A#,12
s41,NC27,C#4,C#,3
s42,NC27,E4,E,6
s44,NC27,B3,B,1
s47,NC27,B3,B,1
s49,NC27,D#4,D#,5
s51,NC27,F#3,F#,8
s53,NC27,B2,B,1
s56,NC27,E3,E,6
s58,NC27,A#2,A#,12
s2,NC28,D4,D,9
s4,NC28,G#3,G#,3
s31,NC28,B3,B,6
s16,NC28,C#3,C#,8
s21,NC28,C#3,C#,8
s27,NC28,C#3,C#,8
s37,NC28,C#3,C#,8
s58,NC28,C#3,C#,8
s25,NC28,C#4,C#,8
s47,NC28,C#4,C#,8
s51,NC28,C#4,C#,8
s23,NC28,D#3,D#,10
s42,NC28,D#4,D#,10
s44,NC28,D#4,D#,10
s6,NC28,E4,E,11
s41,NC28,F#4,F#,1
s12,NC28,G#3,G#,3
s33,NC28,G#3,G#,3
s10,NC28,G#4,G#,3
s35,NC28,G#4,G#,3
s49,NC28,G#4,G#,3
s53,NC28,G3,G,2
s56,NC28,G3,G,2
s8,NC28,G4,G,2
s29,NC28,nan,nan,FALSE
s1,NC29,C#4,C#,1
s22,NC29,C#3,C#,1
s11,NC29,C#4,C#,1
s18,NC29,C#4,C#,1
s50,NC29,C#4,C#,1
s54,NC29,C#4,C#,1
s34,NC29,C4,C,12
s30,NC29,D#4,D#,3
s20,NC29,F#3,F#,6
s28,NC29,F4,F,5
s9,NC29,G#3,G#,8
s24,NC29,G#3,G#,8
s32,NC29,G#3,G#,8
s38,NC29,G#3,G#,8
s40,NC29,G#4,G#,8
s43,NC29,B2,B,11
s15,NC29,C3,C,12
s46,NC29,C3,C,12
s48,NC29,C3,C,12
s13,NC29,D3,D,2
s3,NC29,F#3,F#,6
s7,NC29,G#2,G#,8
s36,NC29,G#2,G#,8
s5,NC29,G2,G,7
s52,NC29,nan,nan,FALSE
s2,NC30,G4,G,12
s4,NC30,D#3,D#,8
s6,NC30,G#4,G#,1
s8,NC30,F#4,F#,11
s10,NC30,D#4,D#,8
s12,NC30,G3,G,12
s16,NC30,D#3,D#,8
s21,NC30,D#3,D#,8
s23,NC30,D#3,D#,8
s25,NC30,D#4,D#,8
s27,NC30,D#3,D#,8
s29,NC30,G4,G,12
s31,NC30,E4,E,9
s33,NC30,D#3,D#,8
s35,NC30,D#4,D#,8
s37,NC30,D#3,D#,8
s41,NC30,G#4,G#,1
s42,NC30,D#4,D#,8
s44,NC30,D#4,D#,8
s47,NC30,D#4,D#,8
s49,NC30,F#4,F#,11
s51,NC30,D#4,D#,8
s53,NC30,E3,E,9
s56,NC30,G3,G,12
s58,NC30,D#3,D#,8
s1,NC31,A#3,A#,8
s3,NC31,A#2,A#,8
s5,NC31,C3,C,10
s7,NC31,A#2,A#,8
s9,NC31,A#3,A#,8
s11,NC31,D#4,D#,1
s13,NC31,B2,B,9
s15,NC31,A#2,A#,8
s18,NC31,C4,C,10
s20,NC31,B3,B,9
s22,NC31,D#4,D#,1
s24,NC31,A#3,A#,8
s28,NC31,A#3,A#,8
s30,NC31,C4,C,10
s32,NC31,A#3,A#,8
s34,NC31,B3,B,9
s36,NC31,F3,F,3
s38,NC31,B3,B,9
s40,NC31,A#3,A#,8
s43,NC31,C3,C,10
s46,NC31,A#2,A#,8
s48,NC31,A#2,A#,8
s50,NC31,A#3,A#,8
s52,NC31,D#4,D#,1
s54,NC31,A#3,A#,8
s2,NC32,B3,B,2
s4,NC32,C3,C,3
s6,NC32,D#4,D#,6
s8,NC32,D#4,D#,6
s10,NC32,C4,C,3
s12,NC32,D#3,D#,6
s16,NC32,D#3,D#,6
s21,NC32,D3,D,5
s23,NC32,E3,E,7
s25,NC32,D#4,D#,6
s27,NC32,C3,C,3
s29,NC32,D#4,D#,6
s31,NC32,D#4,D#,6
s33,NC32,C3,C,3
s35,NC32,D#4,D#,6
s37,NC32,D#3,D#,6
s41,NC32,C4,C,3
s42,NC32,D4,D,5
s44,NC32,D#4,D#,6
s47,NC32,D#4,D#,6
s49,NC32,C4,C,3
s51,NC32,D#4,D#,6
s53,NC32,F3,F,8
s56,NC32,D3,D,5
s58,NC32,C4,C,3
s2,NC33,F4,F,1
s4,NC33,E3,E,12
s6,NC33,A4,A,5
s8,NC33,F4,F,1
s10,NC33,C4,C,8
s12,NC33,G3,G,3
s16,NC33,D3,D,10
s21,NC33,D3,D,10
s23,NC33,A3,A,5
s25,NC33,F4,F,1
s27,NC33,F3,F,1
s29,NC33,G4,G,3
s31,NC33,E4,E,12
s33,NC33,F3,F,1
s35,NC33,F4,F,1
s37,NC33,C3,C,8
s41,NC33,A4,A,5
s42,NC33,G4,G,3
s44,NC33,E4,E,12
s47,NC33,C4,C,8
s49,NC33,E4,E,12
s51,NC33,C4,C,8
s53,NC33,G3,G,3
s56,NC33,C#3,C#,9
s58,NC33,F3,F,1
s1,NC34,B3,B,12
s9,NC34,B3,B,12
s11,NC34,D4,D,3
s18,NC34,C4,C,1
s20,NC34,F#3,F#,7
s22,NC34,E4,E,5
s24,NC34,G3,G,8
s28,NC34,F3,F,6
s30,NC34,E4,E,5
s32,NC34,F3,F,6
s34,NC34,B3,B,12
s38,NC34,B3,B,12
s40,NC34,B3,B,12
s50,NC34,G3,G,8
s52,NC34,G3,G,8
s54,NC34,F4,F,6
s3,NC34,C4,C,1
s5,NC34,G2,G,8
s7,NC34,A2,A,10
s13,NC34,C4,C,1
s15,NC34,F2,F,6
s36,NC34,F2,F,6
s43,NC34,F#2,F#,7
s46,NC34,F3,F,6
s48,NC34,G2,G,8
s1,NC35,C#4,C#,7
s3,NC35,G#2,G#,2
s5,NC35,D3,D,8
s7,NC35,D3,D,8
s9,NC35,D4,D,8
s11,NC35,D4,D,8
s13,NC35,D3,D,8
s15,NC35,D3,D,8
s18,NC35,F4,F,11
s20,NC35,D4,D,8
s22,NC35,D3,D,8
s24,NC35,F4,F,11
s28,NC35,D4,D,8
s30,NC35,D4,D,8
s32,NC35,F4,F,11
s34,NC35,F4,F,11
s36,NC35,A3,A,3
s38,NC35,D4,D,8
s40,NC35,G4,G,1
s43,NC35,C3,C,6
s46,NC35,D3,D,8
s48,NC35,A3,A,3
s50,NC35,D4,D,8
s52,NC35,D4,D,8
s54,NC35,G4,G,1
s2,NC36,A3,A,8
s4,NC36,A2,A,8
s6,NC36,C#4,C#,12
s8,NC36,F#4,F#,5
s10,NC36,F#4,F#,5
s12,NC36,F#3,F#,5
s16,NC36,F#3,F#,5
s21,NC36,C#3,C#,12
s23,NC36,F#3,F#,5
s25,NC36,D4,D,1
s27,NC36,F#3,F#,5
s29,NC36,F#4,F#,5
s31,NC36,F#4,F#,5
s33,NC36,F#3,F#,5
s35,NC36,G3,G,6
s37,NC36,F#3,F#,5
s41,NC36,E4,E,3
s42,NC36,F#4,F#,5
s44,NC36,F#4,F#,5
s47,NC36,E4,E,3
s49,NC36,F#4,F#,5
s51,NC36,A3,A,8
s53,NC36,F#3,F#,5
s56,NC36,D3,D,1
s58,NC36,F#3,F#,5
s1,NC37,G#4,G#,12
s13,NC37,A2,A,1
s3,NC37,A3,A,1
s18,NC37,A4,A,1
s50,NC37,A4,A,1
s20,NC37,B3,B,3
s34,NC37,B3,B,3
s5,NC37,C#3,C#,5
s52,NC37,C#4,C#,5
s36,NC37,D3,D,6
s43,NC37,D4,D,6
s7,NC37,E3,E,8
s15,NC37,E3,E,8
s9,NC37,E4,E,8
s30,NC37,E4,E,8
s32,NC37,E4,E,8
s40,NC37,E4,E,8
s48,NC37,E4,E,8
s11,NC37,F#4,F#,10
s22,NC37,F#4,F#,10
s54,NC37,F4,F,9
s46,NC37,G#3,G#,12
s24,NC37,G#4,G#,12
s28,NC37,G#4,G#,12
s38,NC37,nan,nan,FALSE
s2,NC38,F4,F,2
s4,NC38,E3,E,1
s6,NC38,E4,E,1
s8,NC38,E4,E,1
s10,NC38,B3,B,8
s12,NC38,A3,A,6
s16,NC38,F#3,F#,3
s21,NC38,F#3,F#,3
s23,NC38,F#3,F#,3
s25,NC38,F#4,F#,3
s27,NC38,F#3,F#,3
s29,NC38,B3,B,8
s31,NC38,F#4,F#,3
s33,NC38,F#3,F#,3
s35,NC38,F#4,F#,3
s37,NC38,D#3,D#,12
s41,NC38,A4,A,6
s42,NC38,F#4,F#,3
s44,NC38,F#4,F#,3
s47,NC38,B3,B,8
s49,NC38,F#4,F#,3
s51,NC38,F#4,F#,3
s53,NC38,G3,G,4
s56,NC38,G#3,G#,5
s58,NC38,F#3,F#,3
s2,NC39,C4,C,2
s4,NC39,B2,B,1
s6,NC39,B3,B,1
s8,NC39,C#4,C#,3
s10,NC39,B3,B,1
s12,NC39,E3,E,6
s16,NC39,C#3,C#,3
s21,NC39,D#3,D#,5
s23,NC39,C#4,C#,3
s25,NC39,C#4,C#,3
s27,NC39,E3,E,6
s29,NC39,D#4,D#,5
s31,NC39,C#4,C#,3
s33,NC39,C#3,C#,3
s35,NC39,B3,B,1
s37,NC39,C#3,C#,3
s41,NC39,E4,E,6
s42,NC39,D#4,D#,5
s44,NC39,C#4,C#,3
s47,NC39,E4,E,6
s49,NC39,C#4,C#,3
s51,NC39,E4,E,6
s53,NC39,D#3,D#,5
s56,NC39,C#3,C#,3
s58,NC39,E3,E,6
s1,NC40,G#4,G#,3
s3,NC40,G3,G,2
s5,NC40,C#3,C#,8
s7,NC40,F3,F,12
s9,NC40,C#4,C#,8
s11,NC40,G4,G,2
s13,NC40,G#3,G#,3
s15,NC40,F3,F,12
s18,NC40,A#4,A#,5
s20,NC40,C4,C,7
s22,NC40,D#4,D#,10
s24,NC40,G#4,G#,3
s28,NC40,F#4,F#,1
s30,NC40,G#4,G#,3
s32,NC40,G#4,G#,3
s34,NC40,F4,F,12
s36,NC40,B3,B,6
s38,NC40,F#4,F#,1
s40,NC40,A#4,A#,5
s43,NC40,C#3,C#,8
s46,NC40,E3,E,11
s48,NC40,A#3,A#,5
s50,NC40,F4,F,12
s52,NC40,A3,A,4
s54,NC40,F#4,F#,1
s2,NC41,F#4,F#,6
s6,NC41,F#4,F#,6
s8,NC41,F#4,F#,6
s10,NC41,C#4,C#,1
s25,NC41,F#4,F#,6
s29,NC41,D#4,D#,3
s31,NC41,D#4,D#,3
s35,NC41,D#4,D#,3
s41,NC41,F#4,F#,6
s42,NC41,C#4,C#,1
s44,NC41,D#4,D#,3
s47,NC41,G4,G,7
s49,NC41,F#4,F#,6
s51,NC41,F4,F,5
s4,NC41,C#3,C#,1
s12,NC41,F#3,F#,6
s16,NC41,D#3,D#,3
s21,NC41,C#3,C#,1
s23,NC41,D#3,D#,3
s27,NC41,C#3,C#,1
s33,NC41,F#3,F#,6
s37,NC41,F#3,F#,6
s53,NC41,D#3,D#,3
s56,NC41,F3,F,5
s58,NC41,D#3,D#,3
s2,NC42,G4,G,12
s4,NC42,G#3,G#,1
s6,NC42,D#4,D#,8
s8,NC42,F#4,F#,11
s10,NC42,G#4,G#,1
s12,NC42,A#3,A#,3
s16,NC42,D#3,D#,8
s21,NC42,D#3,D#,8
s23,NC42,C#3,C#,6
s25,NC42,D#4,D#,8
s27,NC42,G3,G,12
s29,NC42,A3,A,2
s31,NC42,D#4,D#,8
s33,NC42,D#3,D#,8
s35,NC42,F#4,F#,11
s37,NC42,F#3,F#,11
s41,NC42,G#4,G#,1
s42,NC42,A#4,A#,3
s44,NC42,D#4,D#,8
s47,NC42,D#4,D#,8
s49,NC42,F#4,F#,11
s51,NC42,D#4,D#,8
s53,NC42,F#3,F#,11
s56,NC42,G#3,G#,1
s58,NC42,F#3,F#,11
s2,NC43,D#4,D#,1
s4,NC43,A#2,A#,8
s6,NC43,D#4,D#,1
s8,NC43,B3,B,9
s10,NC43,G4,G,5
s12,NC43,D3,D,12
s16,NC43,F#3,F#,4
s21,NC43,A#2,A#,8
s23,NC43,G3,G,5
s25,NC43,A#3,A#,8
s27,NC43,A#2,A#,8
s29,NC43,G4,G,5
s31,NC43,A#3,A#,8
s33,NC43,A2,A,7
s35,NC43,A#3,A#,8
s37,NC43,F3,F,3
s41,NC43,G4,G,5
s42,NC43,D#4,D#,1
s44,NC43,G4,G,5
s47,NC43,C4,C,10
s49,NC43,A#3,A#,8
s51,NC43,G4,G,5
s53,NC43,G3,G,5
s56,NC43,A#2,A#,8
s58,NC43,G3,G,5
s2,NC44,D4,D,5
s4,NC44,D3,D,5
s6,NC44,A3,A,12
s8,NC44,A#3,A#,1
s10,NC44,A#3,A#,1
s12,NC44,F3,F,8
s16,NC44,D#3,D#,6
s21,NC44,A#2,A#,1
s23,NC44,A#2,A#,1
s25,NC44,D4,D,5
s27,NC44,F#3,F#,9
s29,NC44,A#3,A#,1
s31,NC44,A3,A,12
s33,NC44,F3,F,8
s35,NC44,A#3,A#,1
s37,NC44,F2,F,8
s41,NC44,A#3,A#,1
s42,NC44,C4,C,3
s44,NC44,D4,D,5
s47,NC44,D#4,D#,6
s49,NC44,D4,D,5
s51,NC44,A#3,A#,1
s53,NC44,D3,D,5
s56,NC44,A#2,A#,1
s58,NC44,A#3,A#,1
s1,NC45,D#4,D#,11
s3,NC45,F3,F,1
s5,NC45,C3,C,8
s7,NC45,E3,E,12
s9,NC45,C4,C,8
s11,NC45,E4,E,12
s13,NC45,G3,G,3
s15,NC45,E3,E,12
s18,NC45,F4,F,1
s20,NC45,C4,C,8
s22,NC45,C#4,C#,9
s24,NC45,D#4,D#,11
s28,NC45,C4,C,8
s30,NC45,F4,F,1
s32,NC45,F4,F,1
s34,NC45,E4,E,12
s36,NC45,F3,F,1
s38,NC45,D4,D,10
s40,NC45,A4,A,5
s43,NC45,C3,C,8
s46,NC45,C3,C,8
s48,NC45,F3,F,1
s50,NC45,C4,C,8
s52,NC45,A#3,A#,6
s54,NC45,F4,F,1
s1,NC03,D4,D,11
s3,NC03,G#3,G#,5
s5,NC03,A2,A,6
s7,NC03,B2,B,8
s9,NC03,B3,B,8
s11,NC03,D#4,D#,12
s13,NC03,E3,E,1
s15,NC03,B2,B,8
s18,NC03,D4,D,11
s20,NC03,C#4,C#,10
s22,NC03,F#4,F#,3
s24,NC03,D#4,D#,12
s28,NC03,E4,E,1
s30,NC03,B3,B,8
s32,NC03,F#4,F#,3
s34,NC03,D4,D,11
s36,NC03,D3,D,11
s38,NC03,C#4,C#,10
s40,NC03,G#4,G#,5
s43,NC03,A2,A,6
s46,NC03,D#3,D#,12
s48,NC03,B2,B,8
s50,NC03,C#4,C#,10
s52,NC03,G4,G,4
s54,NC03,E4,E,1
s2,NC04,G#3,G#,10
s4,NC04,F#3,F#,8
s6,NC04,F#4,F#,8
s8,NC04,F#4,F#,8
s10,NC04,F#4,F#,8
s12,NC04,F#3,F#,8
s16,NC04,F#3,F#,8
s21,NC04,F#3,F#,8
s23,NC04,F#3,F#,8
s25,NC04,D#4,D#,5
s27,NC04,F#3,F#,8
s29,NC04,F#4,F#,8
s31,NC04,B3,B,1
s33,NC04,F#3,F#,8
s35,NC04,G4,G,9
s37,NC04,F#3,F#,8
s41,NC04,F#4,F#,8
s42,NC04,F#4,F#,8
s44,NC04,F#4,F#,8
s47,NC04,F#4,F#,8
s49,NC04,F#4,F#,8
s51,NC04,F#4,F#,8
s53,NC04,F#3,F#,8
s56,NC04,G#3,G#,10
s58,NC04,F#3,F#,8
s1,NC05,F#4,F#,1
s5,NC05,A#2,A#,5
s3,NC05,A#3,A#,5
s13,NC05,A#3,A#,5
s30,NC05,A#3,A#,5
s34,NC05,A#3,A#,5
s52,NC05,A#4,A#,5
s40,NC05,C#4,C#,8
s18,NC05,D#4,D#,10
s36,NC05,F#2,F#,1
s7,NC05,F#3,F#,1
s28,NC05,F#3,F#,1
s43,NC05,F#3,F#,1
s9,NC05,F#4,F#,1
s22,NC05,F#4,F#,1
s32,NC05,F#4,F#,1
s38,NC05,F#4,F#,1
s50,NC05,F#4,F#,1
s15,NC05,F3,F,12
s48,NC05,F3,F,12
s54,NC05,F4,F,12
s46,NC05,G#3,G#,3
s11,NC05,G#4,G#,3
s20,NC05,nan,nan,FALSE
s1,NC06,G#4,G#,8
s3,NC06,D#3,D#,3
s5,NC06,G#3,G#,8
s7,NC06,G#3,G#,8
s9,NC06,G#3,G#,8
s11,NC06,D4,D,2
s13,NC06,G#3,G#,8
s15,NC06,G#3,G#,8
s18,NC06,G#4,G#,8
s20,NC06,A#4,A#,10
s22,NC06,E4,E,4
s24,NC06,G#4,G#,8
s28,NC06,G#4,G#,8
s30,NC06,G#4,G#,8
s32,NC06,A#4,A#,10
s34,NC06,G#4,G#,8
s36,NC06,G#3,G#,8
s38,NC06,D4,D,2
s40,NC06,C4,C,12
s43,NC06,G#3,G#,8
s46,NC06,A#3,A#,10
s48,NC06,A#3,A#,10
s50,NC06,A#4,A#,10
s52,NC06,G4,G,7
s54,NC06,G#4,G#,8
s1,NC07,F#4,F#,11
s3,NC07,G#3,G#,1
s5,NC07,C3,C,5
s7,NC07,G3,G,12
s9,NC07,G#4,G#,1
s11,NC07,F#4,F#,11
s13,NC07,B3,B,4
s15,NC07,C3,C,5
s18,NC07,C4,C,5
s20,NC07,G3,G,12
s22,NC07,F4,F,10
s24,NC07,G4,G,12
s28,NC07,F4,F,10
s30,NC07,D#4,D#,8
s32,NC07,C4,C,5
s34,NC07,D4,D,7
s36,NC07,A#3,A#,3
s38,NC07,G#4,G#,1
s40,NC07,G#4,G#,1
s43,NC07,F3,F,10
s46,NC07,A#3,A#,3
s48,NC07,F3,F,10
s50,NC07,F4,F,10
s52,NC07,G#3,G#,1
s54,NC07,F4,F,10
s1,AC08,A#3,A#,8
s9,AC08,D#4,D#,1
s11,AC08,D#4,D#,1
s18,AC08,D#4,D#,1
s20,AC08,D#4,D#,1
s22,AC08,D#4,D#,1
s24,AC08,D#4,D#,1
s28,AC08,D#4,D#,1
s30,AC08,D#4,D#,1
s32,AC08,D#4,D#,1
s34,AC08,D#4,D#,1
s38,AC08,D#4,D#,1
s40,AC08,D#4,D#,1
s50,AC08,A#3,A#,8
s52,AC08,D#4,D#,1
s54,AC08,D#4,D#,1
s3,AC08,D#3,D#,1
s5,AC08,D#3,D#,1
s7,AC08,D#3,D#,1
s13,AC08,D#3,D#,1
s15,AC08,D#3,D#,1
s36,AC08,D#3,D#,1
s43,AC08,D#3,D#,1
s46,AC08,D#3,D#,1
s48,AC08,D#3,D#,1
s2,AC09,G4,G,10
s4,AC09,B3,B,2
s6,AC09,A#3,A#,1
s8,AC09,G#3,G#,11
s10,AC09,A#3,A#,1
s12,AC09,F3,F,8
s16,AC09,D3,D,5
s21,AC09,A#2,A#,1
s23,AC09,A#3,A#,1
s25,AC09,A#4,A#,1
s27,AC09,F3,F,8
s29,AC09,G4,G,10
s31,AC09,G4,G,10
s33,AC09,A3,A,12
s35,AC09,F4,F,8
s37,AC09,A#2,A#,1
s41,AC09,A4,A,12
s42,AC09,A4,A,12
s44,AC09,A#3,A#,1
s47,AC09,F#4,F#,9
s49,AC09,G4,G,10
s51,AC09,A#3,A#,1
s53,AC09,A#2,A#,1
s56,AC09,A#2,A#,1
s58,AC09,G3,G,10
s2,AC10,F#4,F#,2
s6,AC10,F4,F,1
s8,AC10,F4,F,1
s10,AC10,F4,F,1
s25,AC10,A3,A,5
s29,AC10,A#4,A#,6
s31,AC10,F4,F,1
s35,AC10,F4,F,1
s41,AC10,F4,F,1
s42,AC10,C4,C,8
s44,AC10,A4,A,5
s47,AC10,A4,A,5
s49,AC10,A4,A,5
s51,AC10,A4,A,5
s4,AC10,F3,F,1
s12,AC10,A#3,A#,6
s16,AC10,F3,F,1
s21,AC10,A3,A,5
s23,AC10,A3,A,5
s27,AC10,A3,A,5
s33,AC10,F3,F,1
s37,AC10,F3,F,1
s53,AC10,A3,A,5
s56,AC10,E3,E,12
s58,AC10,A3,A,5
s1,AC11,C4,C,1
s3,AC11,C3,C,1
s5,AC11,C3,C,1
s7,AC11,C3,C,1
s9,AC11,C4,C,1
s11,AC11,C#4,C#,2
s13,AC11,D3,D,3
s15,AC11,C3,C,1
s18,AC11,C4,C,1
s20,AC11,G3,G,8
s22,AC11,C4,C,1
s24,AC11,C4,C,1
s28,AC11,C4,C,1
s30,AC11,C4,C,1
s32,AC11,C4,C,1
s34,AC11,C4,C,1
s36,AC11,C3,C,1
s38,AC11,C4,C,1
s40,AC11,C4,C,1
s43,AC11,C3,C,1
s46,AC11,C3,C,1
s48,AC11,C3,C,1
s50,AC11,C4,C,1
s52,AC11,C4,C,1
s54,AC11,C4,C,1
s1,AC12,G4,G,1
s3,AC12,G3,G,1
s5,AC12,G3,G,1
s7,AC12,F#3,F#,12
s9,AC12,G4,G,1
